1.,1.,57.0,20.0,59.0,27.0,86.0,98.0,64.0,21.0,7.0,50.0,99.0,13.0,34.0,11.0,62.0,73.0,16.0,23.0,79.0,76.0
0.,1.,37.0,7.0,34.0,63.0,101.0,20.0,27.0,57.0,109.0,3.0,48.0,31.0,46.0,60.0,30.0,52.0,64.0,6.0,103.0,36.0
0.,1.,101.0,37.0,6.0,34.0,7.0,63.0,31.0,39.0,48.0,2.0,103.0,19.0,8.0,99.0,111.0,109.0,98.0,52.0,83.0,72.0
0.,1.,37.0,36.0,34.0,7.0,101.0,11.0,43.0,111.0,90.0,99.0,98.0,31.0,16.0,54.0,75.0,33.0,3.0,103.0,48.0,52.0
0.,1.,22.0,36.0,37.0,16.0,111.0,63.0,48.0,6.0,7.0,27.0,34.0,91.0,85.0,98.0,69.0,31.0,39.0,109.0,86.0,83.0
1.,1.,98.0,8.0,48.0,7.0,101.0,27.0,57.0,31.0,36.0,64.0,22.0,99.0,81.0,90.0,46.0,62.0,65.0,66.0,100.0,82.0
0.,1.,27.0,37.0,36.0,16.0,48.0,111.0,6.0,63.0,57.0,7.0,85.0,34.0,96.0,109.0,33.0,22.0,39.0,91.0,106.0,95.0
0.,1.,73.0,37.0,22.0,63.0,36.0,20.0,34.0,7.0,98.0,48.0,27.0,39.0,101.0,21.0,69.0,23.0,26.0,32.0,45.0,106.0
0.,1.,34.0,36.0,37.0,48.0,16.0,45.0,31.0,39.0,101.0,22.0,26.0,64.0,109.0,77.0,72.0,46.0,8.0,110.0,49.0,106.0
0.,1.,27.0,16.0,22.0,20.0,36.0,34.0,13.0,101.0,73.0,48.0,64.0,8.0,21.0,6.0,69.0,86.0,12.0,98.0,45.0,83.0
1.,1.,37.0,48.0,22.0,64.0,36.0,57.0,63.0,101.0,2.0,34.0,111.0,13.0,85.0,45.0,6.0,16.0,8.0,107.0,7.0,39.0
0.,1.,37.0,36.0,48.0,16.0,33.0,22.0,63.0,111.0,98.0,2.0,88.0,109.0,96.0,34.0,86.0,23.0,81.0,39.0,85.0,28.0
0.,1.,37.0,16.0,36.0,22.0,48.0,111.0,96.0,63.0,88.0,34.0,31.0,101.0,6.0,72.0,57.0,10.0,73.0,85.0,55.0,30.0
0.,1.,22.0,27.0,39.0,33.0,34.0,64.0,59.0,109.0,2.0,82.0,86.0,60.0,20.0,98.0,23.0,16.0,25.0,3.0,45.0,73.0
1.,1.,99.0,22.0,36.0,39.0,27.0,34.0,63.0,109.0,20.0,73.0,82.0,33.0,59.0,111.0,25.0,85.0,57.0,23.0,7.0,60.0
1.,0.,48.0,10.0,36.0,98.0,101.0,39.0,72.0,30.0,16.0,99.0,23.0,20.0,24.0,104.0,44.0,82.0,26.0,79.0,47.0,110.0
